无奈荔支何，前度来迟今又早	相思桃叶杳，主人已去客犹留
室作万间，此怀斯足放千古	会修九老，其右犹堪坐一人
曰苟曰苟复曰苟	于斯于斯又于斯
湖山恋我，我恋湖山，然老夫耄矣	科第重人，人重科第，愿吾孙勉之
戴凭高材，就贡举才十有六岁	臣朔博士，诵诗书已廿余万言
一生好事无双日	百岁光阴及半时
而翁本是美男子	阿婆学作新嫁娘
当使尊章，相见交贺	自今夫婿，得助益彰
两番画获昌欧门，六一堂玉为树	群星奉觞祝金母，三千年桃始花
重于泰山，轻于鸿毛，男儿死耳	人为刀俎，我为鱼肉，天下痛之
群盗鼠窃狗偷，死者不瞑目	此地龙蟠虎踞，古人之虚言
善战不败，善败不亡，疏论廷诤，动关至计	主忧臣辱，主辱臣死，皇天后土，式鉴精忠
我公曾有言，不拚却好头颅，曷为男子	国人须记取，愿相爱如手足，以报将军
何人忍贼来君叔	举世谁为鲁仲连
鲁仲连说辛垣衍绝秦，念蹈东海	颜平原为李希烈醉刃，死重泰山
一战而胜而退而死	三立曰德曰功曰言
相喻独秀峰，永怀大洲驿	谁谓三神山，竟为五丈原
于要官、要钱、要命中，斩断葛藤，千年试问几人比	从文正、文襄、文忠后，开先壁垒，三老相逢一笑云
生近帝王居，敢云桑梓多材，天上将军真颇牧	死遗今古恨，试看江湖归榇，马前部曲亦孙吴
大勇却慈祥，论古略同曹武惠	至诚相许与，有章曾荐郭汾阳
溯七百余里潭州，八日捷，五日更捷，何物井蛙自大，妄说飞来，奇哉今古双忠武	数三十九岁名将，岳家哀，卢家尤哀，惟公戎马善终，允膺恩遇，愧杀宋明两思陵
遗诀酸辛，痛膝下无儿，堂前有母	殊勋彪炳，看大河东去，冰岭西来
谋国之忠，知人之明，自愧不如元辅	同心若金，攻错若石，相期无负生平
壮志挽宗邦，剧时犹带吴钩看	宦游悲末路，老去方知蜀遭难
勇退急流，神鸾戢羽	觉余大梦，孤鹤横江
鸟尽叹弓藏，想当年勒鼎摩崖，讵料竟成三字狱	桃僵悲李代，忆往日指囷赠策，那堪同断九回肠
从师得千载一见之人，直取旌麾作衣钵	有弟为五洲百杰之选，早将家世服单于
远别已三十年，记宾馆留贤，看予一过丞相府	近畿方五百里，自先生即世，何人更应少微星
幕府封疆，书生侯伯，章廉宰辅，疏逖枢机，系天下安危者二十年，魂魄常依帝左右	湖湘巾扇，闽浙楼船，沙漠轮蹄，中原羽檄，壮圣主威灵于九万里，声光远烁海东西
自大江以南，大湖以北，蔓种无遗，重整乾坤，擎天一柱	与曾公文正，胡公文忠，后先媲美，灵钟衡岳，吾楚三人
边风急兮，去时雪满天山路	男儿死耳，何须生入玉门关
大笔淋漓圬者传	义声澎湃浙江潮
乃公享耆英社香山会诸老天年，垂白不衰，硕果晨星想丰采	有子是祭征虏宗洮阳一流人物，楚黄有待，骅骝騕褭看飞腾
中华讵不被敉平耶，胡蓄道德能文章如公，奄然长逝	京洛都幻成陈迹矣，忆秋声馆谏草堂旧集，得勿怆怀
荷竹抚遗图，追题曾为士衡感	池塘寻旧梦，病起今无灵运诗
文事继韩昌黎，论筹笔勋名，当在元和平蔡上	声名满郁单越，数乘槎岁月，更难甘掾使秦时
鸿文硕学郁儒宗，才过古人，不掩其德	赤胆忠肝筹国是，谤满天下，无损于名
孤愤塞五洲之间，众醉独醒，终古行吟依屈子	抗心在三代以上，高文醇意，一时绝学并船山
王者守在四夷，坛坫折冲诚有道	天不慗遗一老，沅湘耆旧更何人
悲悯圣人心，孟子见迂阔而公见乖崖，若论名实当时笑	才华翰林伯，同年居要津乃屏居田里，毕竟文章误我多
国无专祠而士林有俎豆，家无私谥而瀛海识姓名，真气塞乾坤，必到盖棺平众议	功在绥边以苦口破群疑，学在传经以虚心衷一是，寒芒动奎壁，愿因修史上遗书
劳宣中外，望重泰山，立德与言，而公不朽	誉以诗人，视犹子弟，为天下恸，亦哭其私
修六艺之文，通万方之略，后世谁相知，怅望千秋为陨涕	质鬼神无疑，俟圣人不惑，殷忧与终古，苍凉寰海一孤臣
识议为流俗所惊，瀛寰七万里间，终全国体	勋业仍著书以老，中兴名将相外，留此儒臣
循吏传已无几人，得我公足光史册	名宦祠当置一席，令奕叶长奉馨香
本来为视草词臣，旋历绾郡符，治行并吴公终古	不去访种桃道士，只勤求民瘼，使君过司马当年
有使君数十辈错布方州，则天下不足治	论今世二千石之勤民事，微我公谁与归
清慎勤三字传家，知君宦橐萧然，惟有西台留谏草	诗书画一时绝笔，使我征帆到此，不堪东阁吊官梅
富贵春梦婆，同辈几人紫光阁	乐府秋胡妇，诗名终古白香亭
我客诸侯，每睠怀旧侣故乡，子真健者	世多异学，慨力挽横流沧海，今又何人
客死家死，事亦相同，若辈咸哀我则否	经师人师，兼之为最，今君不作后其谁
本无庸福到奇才，君竟死，我余生，踽踽凉凉，负从前一诺初心，相期成白首	纵有狂名震流俗，天不怜，人又妬，苍苍莽莽，问此后几根傲骨，何处觅青山
教家视吕正献尤严，我与诸郎，日夕静对	遗世吊贾长沙而返，天歼善类，古今同哀
先生以广交得名，抑又非田文好客	吾父因饥驱出走，合应从湘水招魂
生有大功在乡，其死足令为善者惧	殁而崇祀于社，不言可得人心之同
爱民如子，画松似人，循吏高士为一传	半厂飘然，雪渔已矣，凄风凉月吊三君
妾不衣帛，马不食粟	人死留名，豹死留皮
十年仕宦，岂乏微劳，往事迹全销，公论有鄂渚父老	三日睽违，俄成永诀，今生因已了，感怀过眉山弟兄
勇退急流，不究其施，才吏投闲世共惜	以财自卫，无累于德，老成颓落吾安归
治县著才乃未能究其施，去鲁负功名，公岂甘心老林下	鞠予犹子而不得视同父，赘秦伤潦倒，我徒傫影在人间
岭外百城郴雄，司训忝微官，每怀死友怜羁宦	汉东诸国随大，佐州炳前绩，颇有遗民泣故侯
君佐随州，亡弟亦倅杭州，回首仕宦天涯，忽焉如梦	少名邺下，晚年则居洛下，怆心酒垆云散，瞥尔生哀
休怪世难容，缺折干将君岂悔	忽闻春不相，凄凉邻舍我何堪
穷则善其身，文正有言，寡欲似徐文长，多闻似刘中垒	没可祭于社，吾侪私议，硕学若王司寇，名德若姚征君
从早岁东西奔走，垂老归来，却又撇故多子弟	合大江南北菁英，一齐俯首，也算得满眼儿孙
为柳下和，不为漆团诡，为栗里醉，不为步兵狂，举世恩怨皆平，宁待盖棺论始定	以儒林长，而以都讲终，以文苑尊，而以茂才老，从今音尘永阔，可胜开箧泪频沾
落落眼前人，惟子有才非百里	茫茫身后事，愧予无计慰重泉
世须才，才亦须世	公负我，我不负公
综中西为一家言，横览九流无此学	立功名于万里外，不缘世业足封侯
光名父勋，能使外人重中国	为大局恸，非徒知己感生平
昏醉遍人间，世多湎狂，维昔已然，何忍为独清独醒	疮痍满天下，公擅医术，而又不作，谁与任治国治民
先生治病未治病，具见五脏症结	有子读书读父书，又传肘后奇方
我公运厄龙蛇，今年岁在辰，明年岁在已	有子才如麟凤，季方难为弟，元方难为兄
兰以香而焚，膏以明而煎，同彼龚生，天年竟天	有拔使之起，孰挤使之止，嗟我于敬，人琴俱亡
思天下有饥者	非正命而死之
招两三同志登场，真而假，假而真，吴会新翻血手印	为百万灾黎请命，死者生，生者死，皖江长作浪淘声
宗悫堕马竟戕生，虚予期望乘长风破巨浪之志	汪踦虽殇亦何恨，怜汝未能执干戈卫社稷而亡
马革裹尸，比似沙场尤可痛	虎头食肉，愤投刀笔更何人
国人欲勿殇，有执干戈卫社稷之志	朝廷宜矜恤，为联邦交习戎备而亡
早知平等冤亲，何必分明问仇者	熟计苟全性命，愿将愚鲁祝求生
清才赋鹦鹉	奇恨郁鸱夷
研几之深，进德之猛，我愧不如，奈天靳晚成，绩学为才名所掩	群萌未晤，大难未纾，君何能瞑，倘海填冤愤，精魂挟愿力归来
狂者进取，狷者有所不为，吾党之英，谁其兼此	回也短命，由也不得其死，先圣而作，能勿恸乎
逄比孤患，岳于惨狱，昔人尚尔，于汝何尤，朝局总难言，当偕孝孺先生，奋舌问成王安在	汉唐党祸，魏晋清流，自古维昭，而今尤烈，海疆正多事，应共子胥相国，抉目看越寇飞来
撞破好家居，主辱固应臣死日	珍藏此疏稿，拨云会有见天时
戕公者实成公名，公乎何恨	谋国者果为国计，国其庶几
公有千秋名，国有儒将	生为万人敌，死为鬼雄
干国失三贤，哭大司马少司农才数月	易名足千古，合胡文忠左文襄为一人
取海内六大邦政艺，豁中华二千载颛蒙，儒者使强，愚者使智	有晏婴三十年狐裘，无孔明八百株桑树，公尔忘私，国尔忘家
相业迈曲江江陵而上	学术在新安安定之间
五年前瘴海同袍，艰危竟奠重溟浪	二千里长江如镜，扫荡难忘百战人
曾侯之正，左傅之刚，惟公鼎足其间，中兴大业三人杰	宏景无才，长源无识，抑我私心所仰，南岳诸蜂一老臣
收吴楚六千里肃清江路之功，水师创立书生手	开国家三百年驰骋名扬之局，亮节能邀圣主知
同侪只几辈仅存，那堪雾黯星沉，南岳又惊奇士殒	隔岁向三潭小住，际此风和日暖，西湖应盼主人回
能让高位，闻危事则不辞，完一世功名，是谓真廉亦大勇	最爱苍生，遇奸人则必翦，问身后因果，若非菩萨即金刚
其为气至刚，从孟氏得来，斯称善养	人之生也直，经孔门论定，不愧古愚
勤官则枢府诸老所褒，十余载贤劳，洗眼看太行以西，大河以北	扶病为枌乡百年救弊，数万家歌哭，吞声读刘翊之传，羊祜之碑
溇澧名孝廉，天潢大宗师，汾晋慈父母	桐乡古祠祀，贞曜私谥诔，山阳旧悲思
盖棺定千秋，未竟厥施，公为实业开山祖	漏舟同一哭，倏然待尽，我亦浮家蹈海人
管子天下才，公论他年青史在	鲍叔知我者，故交此日白头稀
我愧并时生，不获同功作良茧	君成大名去，独挥老泪看残棋
长沙惊秋，我正抱吊屈子、哭贾谊悲哀，泪眼赋归来，又对酒垆恸向秀	乡校庇士，君雅有肩河汾、揖苏湖志事，学堂崇报飨，定应俎豆祔文翁
中华化学更有几人，从此广陵成绝调	今日军资为第一事，痛哉欧冶堕洪炉
湘水无情，作客又逢大鸟	桃花依旧，招魂仍返桃源
都人士勿多言，试问若辈家居，剩空壳骼魂安在	奇男子有何恨，惟是国民任重，负好头颅血未流
不死于贼，必死于小人，今而后吾知免矣	虽竟其才，未竟其大志，已焉哉天实为之
富以侠称而不永年，痛时势阽危，谁知蹈东海，帝西秦，有鲁连恨事	我为君解无如示旷，对乾坤泡影，敢谓齐彭殇，一生死，是漆吏妄谭
西川财赋擅天下雄，知遇得人，岂遽令盐铁一官终老	北极朝廷开商战局，贩傭愧我，能无望管刘诸佐再生
正疲龙困虎之斗吾洲，公不少留，大事苍茫谁与属	用榷酒税盐以终宦局，天如可问，此材沉没我安归
十载蚕丛，一官鸡肋	九歌宋续，三户郢哀
入蜀诗多，恨我性常疏，未获为故人击节	争辽战急，设君灵不谍，定应化雄鬼执戈
翁之夫妇同作天上神仙，楚囚迟归来，是痛哭西州门一大纪念	我与郎君皆为国民分子，鲁纬长叹息，愿追从英吉利二勇少年
龙伯高愿汝曹效之，即以兄之生平，永诏兄子	马少游称善人足矣，孰谓吾今老大，私愧吾宗
人尽嗟其才，类我类我	天遽夺之命，丧予丧予
峡江后六世，君与北流最贤，沦落可伤，八口蓬飞在南北	中泠第一泉，我从东阁乞得，死生太易，一场茗罢各西东
死国埋名，公等争先入地	挥戈挽日，某也何敢贪天
诸公举身家性命报社会，社会举香花泪墨报诸公，后死者之责止此而已乎？北虏未灭，有忝余生，誓继一十七次革命家，再接再厉	时势以暗潮热流造英雄，英雄以黑铁赤血造时势，大丈夫所为正当如是矣，南风不雌，抑谁之力，伫看四千余年光复史，大书特书
京华一见便倾心，当时书肆定交，早钦宿学	江表十年常聚首，今日酒尊和泪，来吊诗人
范希文先天下而忧，曾无片时逸豫	来君叔为何人所赋，足令千古悲哀
以文来，以节归，毅魄常留两江上下	因孝黜，因忠死，苦心可质百世鬼神
沪海竞见岑彭，衔悲千古	苍天再生申甫，佐治四方
鲁仲连耻生与暴秦为臣，卒使渐台新帝不能高枕以卧	孙讨逆竟死于小人之手，遂令吴会子弟未得渡江而西
壮士死则举大名	懦夫闻而有立志
教子成世界人，名满九州四海	哭公届陆沉日，忧绵万岁千秋
文成一家言，粮无隔宿储，青眼商歌吾子	目营四海表，死博只鸡奠，白头来哭故人
摩顶忆儿时，许我是马空群，麟独角	伤心哭父执，有人为郊拟谥，泰撰碑
可怜百夫特	竟畀九幽埋
如此乾坤，待卧龙而不起	正当风雨，失鸣鸡其奈何
来日百花生，去日百花生，可堪红杏枝头，一般雪涕	君年五十五，我年五十五，何堪黄公垆畔，独自伤春
为无数权利，掷无数头颅，功不必自我成，甘心粉骨糜躯，以诏来者	揽第一江山，念第一豪杰，国庶乎有与立，从此蟠天际地，胥拜公灵
